car_id,Transmission,Engine Size (cm3),Fuel Type,Powertrain,CO2 emission,Engine Size (cm3) (bins)
269,Manual,999,Petrol,Internal Combustion Engine (ICE),155,0
270,Manual,999,Petrol,Internal Combustion Engine (ICE),166,0
279,Manual,999,Petrol,Internal Combustion Engine (ICE),147,0
280,Manual,999,Petrol,Internal Combustion Engine (ICE),160,0
283,Manual,999,Petrol,Internal Combustion Engine (ICE),147,0
284,Manual,999,Petrol,Internal Combustion Engine (ICE),160,0
287,Manual,999,Petrol,Internal Combustion Engine (ICE),147,0
291,Manual,999,Petrol,Internal Combustion Engine (ICE),147,0
292,Manual,999,Petrol,Internal Combustion Engine (ICE),160,0
479,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
480,Manual,999,Petrol,Internal Combustion Engine (ICE),121,0
485,Manual,999,Petrol,Internal Combustion Engine (ICE),121,0
486,Manual,999,Petrol,Internal Combustion Engine (ICE),121,0
487,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
488,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
489,Manual,999,Petrol,Internal Combustion Engine (ICE),127,0
490,Manual,999,Petrol,Internal Combustion Engine (ICE),128,0
499,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
500,Manual,999,Petrol,Internal Combustion Engine (ICE),121,0
501,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
502,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
503,Manual,999,Petrol,Internal Combustion Engine (ICE),127,0
504,Manual,999,Petrol,Internal Combustion Engine (ICE),128,0
507,Manual,999,Petrol,Internal Combustion Engine (ICE),127,0
508,Manual,999,Petrol,Internal Combustion Engine (ICE),127,0
515,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
516,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
517,Manual,999,Petrol,Internal Combustion Engine (ICE),127,0
518,Manual,999,Petrol,Internal Combustion Engine (ICE),128,0
548,Manual,999,Petrol,Internal Combustion Engine (ICE),149,0
549,Manual,999,Petrol,Internal Combustion Engine (ICE),150,0
566,Manual,999,Petrol,Internal Combustion Engine (ICE),147,0
567,Manual,999,Petrol,Internal Combustion Engine (ICE),148,0
573,Manual,999,Petrol,Internal Combustion Engine (ICE),149,0
574,Manual,999,Petrol,Internal Combustion Engine (ICE),150,0
599,Manual,999,Petrol,Internal Combustion Engine (ICE),138,0
600,Manual,999,Petrol,Internal Combustion Engine (ICE),139,0
605,Manual,999,Petrol,Internal Combustion Engine (ICE),140,0
606,Manual,999,Petrol,Internal Combustion Engine (ICE),141,0
611,Manual,999,Petrol,Internal Combustion Engine (ICE),141,0
612,Manual,999,Petrol,Internal Combustion Engine (ICE),141,0
645,Manual,999,Petrol,Internal Combustion Engine (ICE),139,0
646,Manual,999,Petrol,Internal Combustion Engine (ICE),139,0
655,Manual,999,Petrol,Internal Combustion Engine (ICE),141,0
656,Manual,999,Petrol,Internal Combustion Engine (ICE),141,0
659,Manual,999,Petrol,Internal Combustion Engine (ICE),141,0
660,Manual,999,Petrol,Internal Combustion Engine (ICE),142,0
671,Manual,999,Petrol,Internal Combustion Engine (ICE),141,0
672,Manual,999,Petrol,Internal Combustion Engine (ICE),142,0
689,Manual,999,Petrol,Internal Combustion Engine (ICE),140,0
690,Manual,999,Petrol,Internal Combustion Engine (ICE),141,0
693,Manual,999,Petrol,Internal Combustion Engine (ICE),140,0
694,Manual,999,Petrol,Internal Combustion Engine (ICE),141,0
705,Manual,999,Petrol,Internal Combustion Engine (ICE),140,0
706,Manual,999,Petrol,Internal Combustion Engine (ICE),141,0
711,Manual,999,Petrol,Internal Combustion Engine (ICE),140,0
712,Manual,999,Petrol,Internal Combustion Engine (ICE),140,0
713,Manual,999,Petrol,Internal Combustion Engine (ICE),131,0
714,Manual,999,Petrol,Internal Combustion Engine (ICE),131,0
715,Manual,999,Petrol,Internal Combustion Engine (ICE),130,0
716,Manual,999,Petrol,Internal Combustion Engine (ICE),131,0
946,Manual,999,Petrol,Internal Combustion Engine (ICE),149,0
947,Manual,999,Petrol,Internal Combustion Engine (ICE),162,0
950,Manual,999,Petrol,Internal Combustion Engine (ICE),145,0
951,Manual,999,Petrol,Internal Combustion Engine (ICE),156,0
954,Manual,999,Petrol,Internal Combustion Engine (ICE),149,0
955,Manual,999,Petrol,Internal Combustion Engine (ICE),162,0
956,Manual,999,Petrol,Internal Combustion Engine (ICE),156,0
957,Manual,999,Petrol,Internal Combustion Engine (ICE),141,0
962,Manual,999,Petrol,Internal Combustion Engine (ICE),141,0
963,Manual,999,Petrol,Internal Combustion Engine (ICE),156,0
966,Manual,999,Petrol,Internal Combustion Engine (ICE),162,0
967,Manual,999,Petrol,Internal Combustion Engine (ICE),149,0
970,Manual,999,Petrol,Internal Combustion Engine (ICE),156,0
971,Manual,999,Petrol,Internal Combustion Engine (ICE),141,0
972,Manual,999,Petrol,Internal Combustion Engine (ICE),149,0
973,Manual,999,Petrol,Internal Combustion Engine (ICE),162,0
980,Manual,999,Petrol,Internal Combustion Engine (ICE),149,0
981,Manual,999,Petrol,Internal Combustion Engine (ICE),162,0
1028,Manual,999,Petrol,Internal Combustion Engine (ICE),123,0
1029,Manual,999,Petrol,Internal Combustion Engine (ICE),137,0
1030,Manual,999,Petrol,Internal Combustion Engine (ICE),137,0
1031,Manual,999,Petrol,Internal Combustion Engine (ICE),123,0
1032,Manual,999,Petrol,Internal Combustion Engine (ICE),123,0
1033,Manual,999,Petrol,Internal Combustion Engine (ICE),137,0
1034,Manual,999,Petrol,Internal Combustion Engine (ICE),137,0
1035,Manual,999,Petrol,Internal Combustion Engine (ICE),123,0
1040,Manual,999,Petrol,Internal Combustion Engine (ICE),137,0
1041,Manual,999,Petrol,Internal Combustion Engine (ICE),123,0
1042,Manual,999,Petrol,Internal Combustion Engine (ICE),123,0
1043,Manual,999,Petrol,Internal Combustion Engine (ICE),137,0
1066,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
1067,Manual,999,Petrol,Internal Combustion Engine (ICE),144,0
1078,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
1079,Manual,999,Petrol,Internal Combustion Engine (ICE),144,0
1090,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
1091,Manual,999,Petrol,Internal Combustion Engine (ICE),143,0
1118,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
1119,Manual,999,Petrol,Internal Combustion Engine (ICE),143,0
1140,Manual,999,Petrol,Internal Combustion Engine (ICE),116,0
1141,Manual,999,Petrol,Internal Combustion Engine (ICE),146,0
4332,Manual,999,Petrol,Internal Combustion Engine (ICE),149,0
4334,Manual,999,Petrol,Internal Combustion Engine (ICE),149,0
4365,Manual,999,Petrol,Internal Combustion Engine (ICE),121,0
4366,Manual,999,Petrol,Internal Combustion Engine (ICE),126,0
4367,Manual,999,Petrol,Internal Combustion Engine (ICE),126,0
4368,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
4400,Manual,999,Petrol,Internal Combustion Engine (ICE),134,0
4401,Manual,999,Petrol,Internal Combustion Engine (ICE),134,0
4402,Manual,999,Petrol,Internal Combustion Engine (ICE),134,0
4403,Manual,999,Petrol,Internal Combustion Engine (ICE),136,0
4404,Manual,999,Petrol,Internal Combustion Engine (ICE),137,0
4405,Manual,999,Petrol,Internal Combustion Engine (ICE),135,0
4406,Manual,999,Petrol,Internal Combustion Engine (ICE),139,0
4407,Manual,999,Petrol,Internal Combustion Engine (ICE),137,0
4599,Manual,999,Petrol,Internal Combustion Engine (ICE),141,0
4600,Manual,999,Petrol,Internal Combustion Engine (ICE),141,0
4615,Manual,999,Petrol,Internal Combustion Engine (ICE),136,0
4616,Manual,999,Petrol,Internal Combustion Engine (ICE),137,0
4627,Manual,999,Petrol,Internal Combustion Engine (ICE),136,0
4628,Manual,999,Petrol,Internal Combustion Engine (ICE),137,0
4639,Manual,999,Petrol,Internal Combustion Engine (ICE),137,0
4640,Manual,999,Petrol,Internal Combustion Engine (ICE),141,0
4655,Manual,999,Petrol,Internal Combustion Engine (ICE),137,0
4656,Manual,999,Petrol,Internal Combustion Engine (ICE),141,0
4667,Manual,999,Petrol,Internal Combustion Engine (ICE),133,0
4668,Manual,999,Petrol,Internal Combustion Engine (ICE),134,0
4671,Manual,999,Petrol,Internal Combustion Engine (ICE),133,0
4672,Manual,999,Petrol,Internal Combustion Engine (ICE),133,0
4675,Manual,999,Petrol,Internal Combustion Engine (ICE),134,0
4676,Manual,999,Petrol,Internal Combustion Engine (ICE),134,0
4681,Manual,999,Petrol,Internal Combustion Engine (ICE),134,0
4682,Manual,999,Petrol,Internal Combustion Engine (ICE),135,0
4689,Manual,999,Petrol,Internal Combustion Engine (ICE),133,0
4690,Manual,999,Petrol,Internal Combustion Engine (ICE),134,0
4693,Manual,999,Petrol,Internal Combustion Engine (ICE),134,0
4694,Manual,999,Petrol,Internal Combustion Engine (ICE),134,0
4695,Manual,999,Petrol,Internal Combustion Engine (ICE),133,0
4696,Manual,999,Petrol,Internal Combustion Engine (ICE),134,0
4709,Manual,999,Petrol,Internal Combustion Engine (ICE),135,0
4710,Manual,999,Petrol,Internal Combustion Engine (ICE),135,0
4717,Manual,999,Petrol,Internal Combustion Engine (ICE),133,0
4718,Manual,999,Petrol,Internal Combustion Engine (ICE),134,0
4727,Manual,999,Petrol,Internal Combustion Engine (ICE),134,0
4728,Manual,999,Petrol,Internal Combustion Engine (ICE),135,0
4737,Manual,999,Petrol,Internal Combustion Engine (ICE),135,0
4738,Manual,999,Petrol,Internal Combustion Engine (ICE),135,0
4745,Manual,999,Petrol,Internal Combustion Engine (ICE),133,0
4746,Manual,999,Petrol,Internal Combustion Engine (ICE),134,0
4747,Manual,999,Petrol,Internal Combustion Engine (ICE),133,0
4748,Manual,999,Petrol,Internal Combustion Engine (ICE),134,0
4757,Manual,999,Petrol,Internal Combustion Engine (ICE),135,0
4758,Manual,999,Petrol,Internal Combustion Engine (ICE),135,0
4761,Manual,999,Petrol,Internal Combustion Engine (ICE),134,0
4762,Manual,999,Petrol,Internal Combustion Engine (ICE),134,0
5251,Manual,999,Petrol,Internal Combustion Engine (ICE),131,0
5252,Manual,999,Petrol,Internal Combustion Engine (ICE),133,0
5257,Manual,999,Petrol,Internal Combustion Engine (ICE),133,0
5258,Manual,999,Petrol,Internal Combustion Engine (ICE),133,0
5293,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
5294,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
5299,Manual,999,Petrol,Internal Combustion Engine (ICE),121,0
5300,Manual,999,Petrol,Internal Combustion Engine (ICE),122,0
5301,Manual,999,Petrol,Internal Combustion Engine (ICE),117,0
5302,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5307,Manual,999,Petrol,Internal Combustion Engine (ICE),121,0
5308,Manual,999,Petrol,Internal Combustion Engine (ICE),122,0
5309,Manual,999,Petrol,Internal Combustion Engine (ICE),117,0
5310,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5317,Manual,999,Petrol,Internal Combustion Engine (ICE),121,0
5318,Manual,999,Petrol,Internal Combustion Engine (ICE),122,0
5319,Manual,999,Petrol,Internal Combustion Engine (ICE),117,0
5320,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5323,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
5324,Manual,999,Petrol,Internal Combustion Engine (ICE),121,0
5327,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
5328,Manual,999,Petrol,Internal Combustion Engine (ICE),121,0
5333,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
5334,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5339,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
5340,Manual,999,Petrol,Internal Combustion Engine (ICE),121,0
5347,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
5348,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5357,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
5358,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5363,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
5364,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5365,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
5366,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5369,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5370,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5371,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
5372,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
5373,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5374,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5375,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5376,Manual,999,Petrol,Internal Combustion Engine (ICE),121,0
5379,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5380,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5381,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5382,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5385,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5386,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5387,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
5388,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5393,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5394,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5397,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5398,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5399,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
5400,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5403,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5404,Manual,999,Petrol,Internal Combustion Engine (ICE),121,0
5409,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5410,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5415,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5416,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5417,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
5418,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5419,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
5420,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5423,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5424,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5427,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5428,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5429,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5430,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5433,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5434,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5437,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5438,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5441,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5442,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5445,Manual,999,Petrol,Internal Combustion Engine (ICE),119,0
5446,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5467,Manual,999,Petrol,Internal Combustion Engine (ICE),124,0
5469,Manual,999,Petrol,Internal Combustion Engine (ICE),124,0
5471,Manual,999,Petrol,Internal Combustion Engine (ICE),121,0
5474,Manual,999,Petrol,Internal Combustion Engine (ICE),124,0
5477,Manual,999,Petrol,Internal Combustion Engine (ICE),120,0
5479,Manual,999,Petrol,Internal Combustion Engine (ICE),124,0
5481,Manual,999,Petrol,Internal Combustion Engine (ICE),139,0
5488,Manual,999,Petrol,Internal Combustion Engine (ICE),146,0
5521,Manual,999,Petrol,Internal Combustion Engine (ICE),121,0
5522,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
5523,Manual,999,Petrol,Internal Combustion Engine (ICE),121,0
5524,Manual,999,Petrol,Internal Combustion Engine (ICE),118,0
5525,Manual,999,Petrol,Internal Combustion Engine (ICE),126,0
5526,Manual,999,Petrol,Internal Combustion Engine (ICE),124,0
5527,Manual,999,Petrol,Internal Combustion Engine (ICE),123,0
5529,Manual,999,Petrol,Internal Combustion Engine (ICE),127,0
5530,Manual,999,Petrol,Internal Combustion Engine (ICE),125,0
5531,Manual,999,Petrol,Internal Combustion Engine (ICE),123,0
5533,Manual,999,Petrol,Internal Combustion Engine (ICE),126,0
5534,Manual,999,Petrol,Internal Combustion Engine (ICE),124,0
5536,Manual,999,Petrol,Internal Combustion Engine (ICE),126,0
5537,Manual,999,Petrol,Internal Combustion Engine (ICE),124,0
5608,Manual,999,Petrol,Internal Combustion Engine (ICE),125,0
5612,Manual,999,Petrol,Internal Combustion Engine (ICE),127,0
5616,Manual,999,Petrol,Internal Combustion Engine (ICE),127,0
5643,Manual,999,Petrol,Internal Combustion Engine (ICE),126,0
5647,Manual,999,Petrol,Internal Combustion Engine (ICE),129,0
5651,Manual,999,Petrol,Internal Combustion Engine (ICE),128,0
288,Automatic,999,Petrol,Internal Combustion Engine (ICE),160,0
491,Automatic,999,Petrol,Internal Combustion Engine (ICE),131,0
492,Automatic,999,Petrol,Internal Combustion Engine (ICE),132,0
493,Automatic,999,Petrol,Internal Combustion Engine (ICE),140,0
494,Automatic,999,Petrol,Internal Combustion Engine (ICE),141,0
509,Automatic,999,Petrol,Internal Combustion Engine (ICE),139,0
510,Automatic,999,Petrol,Internal Combustion Engine (ICE),140,0
519,Automatic,999,Petrol,Internal Combustion Engine (ICE),131,0
520,Automatic,999,Petrol,Internal Combustion Engine (ICE),132,0
4333,Automatic,999,Petrol,Internal Combustion Engine (ICE),163,0
4335,Automatic,999,Petrol,Internal Combustion Engine (ICE),162,0
4369,Automatic,999,Petrol,Internal Combustion Engine (ICE),137,0
4370,Automatic,999,Petrol,Internal Combustion Engine (ICE),143,0
4371,Automatic,999,Petrol,Internal Combustion Engine (ICE),142,0
4408,Automatic,999,Petrol,Internal Combustion Engine (ICE),137,0
4409,Automatic,999,Petrol,Internal Combustion Engine (ICE),137,0
4410,Automatic,999,Petrol,Internal Combustion Engine (ICE),140,0
4411,Automatic,999,Petrol,Internal Combustion Engine (ICE),140,0
4412,Automatic,999,Petrol,Internal Combustion Engine (ICE),138,0
4413,Automatic,999,Petrol,Internal Combustion Engine (ICE),142,0
4414,Automatic,999,Petrol,Internal Combustion Engine (ICE),141,0
5311,Automatic,999,Petrol,Internal Combustion Engine (ICE),131,0
5312,Automatic,999,Petrol,Internal Combustion Engine (ICE),133,0
5321,Automatic,999,Petrol,Internal Combustion Engine (ICE),131,0
5322,Automatic,999,Petrol,Internal Combustion Engine (ICE),132,0
5329,Automatic,999,Petrol,Internal Combustion Engine (ICE),134,0
5330,Automatic,999,Petrol,Internal Combustion Engine (ICE),134,0
5341,Automatic,999,Petrol,Internal Combustion Engine (ICE),133,0
5342,Automatic,999,Petrol,Internal Combustion Engine (ICE),134,0
5349,Automatic,999,Petrol,Internal Combustion Engine (ICE),132,0
5350,Automatic,999,Petrol,Internal Combustion Engine (ICE),133,0
5359,Automatic,999,Petrol,Internal Combustion Engine (ICE),132,0
5360,Automatic,999,Petrol,Internal Combustion Engine (ICE),133,0
5367,Automatic,999,Petrol,Internal Combustion Engine (ICE),129,0
5368,Automatic,999,Petrol,Internal Combustion Engine (ICE),129,0
5377,Automatic,999,Petrol,Internal Combustion Engine (ICE),132,0
5378,Automatic,999,Petrol,Internal Combustion Engine (ICE),132,0
5389,Automatic,999,Petrol,Internal Combustion Engine (ICE),130,0
5390,Automatic,999,Petrol,Internal Combustion Engine (ICE),130,0
5405,Automatic,999,Petrol,Internal Combustion Engine (ICE),132,0
5406,Automatic,999,Petrol,Internal Combustion Engine (ICE),132,0
5411,Automatic,999,Petrol,Internal Combustion Engine (ICE),130,0
5412,Automatic,999,Petrol,Internal Combustion Engine (ICE),131,0
5431,Automatic,999,Petrol,Internal Combustion Engine (ICE),130,0
5432,Automatic,999,Petrol,Internal Combustion Engine (ICE),131,0
5435,Automatic,999,Petrol,Internal Combustion Engine (ICE),132,0
5436,Automatic,999,Petrol,Internal Combustion Engine (ICE),132,0
5468,Automatic,999,Petrol,Internal Combustion Engine (ICE),134,0
5470,Automatic,999,Petrol,Internal Combustion Engine (ICE),134,0
5472,Automatic,999,Petrol,Internal Combustion Engine (ICE),135,0
5475,Automatic,999,Petrol,Internal Combustion Engine (ICE),137,0
5478,Automatic,999,Petrol,Internal Combustion Engine (ICE),134,0
5480,Automatic,999,Petrol,Internal Combustion Engine (ICE),137,0
5528,Automatic,999,Petrol,Internal Combustion Engine (ICE),132,0
5532,Automatic,999,Petrol,Internal Combustion Engine (ICE),132,0
5535,Automatic,999,Petrol,Internal Combustion Engine (ICE),133,0
5538,Automatic,999,Petrol,Internal Combustion Engine (ICE),133,0
220,Automatic,1998,Petrol,Internal Combustion Engine (ICE),213,1350
1351,Automatic,1998,Petrol,Internal Combustion Engine (ICE),182,1350
1352,Automatic,1998,Petrol,Internal Combustion Engine (ICE),193,1350
1353,Automatic,1998,Petrol,Internal Combustion Engine (ICE),182,1350
1360,Automatic,1998,Petrol,Internal Combustion Engine (ICE),193,1350
1361,Automatic,1998,Petrol,Internal Combustion Engine (ICE),199,1350
1688,Manual,1998,Petrol,Internal Combustion Engine (ICE),182,1350
1689,Automatic,1998,Petrol,Internal Combustion Engine (ICE),191,1350
1690,Automatic,1998,Petrol,Internal Combustion Engine (ICE),191,1350
1691,Manual,1998,Petrol,Internal Combustion Engine (ICE),182,1350
1702,Automatic,1998,Petrol,Internal Combustion Engine (ICE),194,1350
2032,Automatic,1998,Petrol,Internal Combustion Engine (ICE),211,1350
2300,Automatic,1998,Petrol,Internal Combustion Engine (ICE),221,1350
2301,Automatic,1998,Petrol,Internal Combustion Engine (ICE),215,1350
2302,Automatic,1998,Petrol,Internal Combustion Engine (ICE),215,1350
2851,Automatic,1998,Petrol,Internal Combustion Engine (ICE),149,1350
2852,Automatic,1998,Petrol,Internal Combustion Engine (ICE),138,1350
2853,Manual,1998,Petrol,Internal Combustion Engine (ICE),141,1350
2854,Manual,1998,Petrol,Internal Combustion Engine (ICE),141,1350
2855,Manual,1998,Petrol,Internal Combustion Engine (ICE),141,1350
2856,Manual,1998,Petrol,Internal Combustion Engine (ICE),141,1350
2857,Manual,1998,Petrol,Internal Combustion Engine (ICE),141,1350
2858,Manual,1998,Petrol,Internal Combustion Engine (ICE),141,1350
2859,Manual,1998,Petrol,Internal Combustion Engine (ICE),141,1350
2860,Automatic,1998,Petrol,Internal Combustion Engine (ICE),160,1350
2861,Automatic,1998,Petrol,Internal Combustion Engine (ICE),160,1350
2862,Automatic,1998,Petrol,Internal Combustion Engine (ICE),144,1350
2863,Automatic,1998,Petrol,Internal Combustion Engine (ICE),144,1350
2864,Automatic,1998,Petrol,Internal Combustion Engine (ICE),144,1350
2865,Automatic,1998,Petrol,Internal Combustion Engine (ICE),144,1350
2866,Automatic,1998,Petrol,Internal Combustion Engine (ICE),138,1350
2867,Automatic,1998,Petrol,Internal Combustion Engine (ICE),138,1350
2868,Automatic,1998,Petrol,Internal Combustion Engine (ICE),138,1350
2869,Automatic,1998,Petrol,Internal Combustion Engine (ICE),138,1350
2870,Automatic,1998,Petrol,Internal Combustion Engine (ICE),149,1350
